"Story","Title","Result","Date","Stability","Duration (s)"
"To test the forgot password functionality","To validate the forgot password functionality with valid and invalid credentials.","SUCCESS","2023-08-07T13:19:17.48+05:30[Asia/Calcutta]","0.0","84.75"
"To test the forgot password functionality","To validate the forgot password functionality with valid and invalid credentials.","SUCCESS","2023-08-07T13:19:17.48+05:30[Asia/Calcutta]","0.0","84.75"
"To test the Afrexim Bank server","To verify the login functionality","SUCCESS","2023-08-07T13:33:01.856+05:30[Asia/Calcutta]","0.0","24.98"
