"Story","Title","Result","Date","Stability","Duration (s)"
"To Test the Our Bank Option in the home page","To validate the Our bank dropdown","SUCCESS","2023-08-29T14:14:31.9727842+05:30[Asia/Calcutta]","0.0","21.84"
"To Test the Our Bank Option in the home page","To validate About us tables","SUCCESS","2023-08-29T14:14:54.4814529+05:30[Asia/Calcutta]","0.0","79.85"
"To Test the Our Bank Option in the home page","To validate the drop down","ERROR","2023-08-29T14:16:15.2612004+05:30[Asia/Calcutta]","0.0","3.11"
