"Story","Title","Result","Date","Stability","Duration (s)"
"To test the Products and Services functionality","To validate the Products and services Dropdown","SUCCESS","2023-08-29T14:19:02.371943+05:30[Asia/Calcutta]","0.0","26.47"
"To test the Products and Services functionality","To validate the Who we serve","SUCCESS","2023-08-29T14:19:29.2554372+05:30[Asia/Calcutta]","0.0","75.06"
"To test the Products and Services functionality","Test the Our key services funtionalty","SUCCESS","2023-08-29T14:20:44.7694581+05:30[Asia/Calcutta]","0.0","292.47"
