"Story","Title","Result","Date","Stability","Duration (s)"
"To test the Homepage functionality","To validate the Afrexim Bank Logo","SUCCESS","2023-08-29T13:55:13.030624+05:30[Asia/Calcutta]","0.0","16.11"
"To test the Homepage functionality","To validate the Homepage top options","SUCCESS","2023-08-29T13:55:30.1319558+05:30[Asia/Calcutta]","0.0","15.04"
"To Test the Our Bank Option in the home page","To validate the Our bank dropdown","SUCCESS","2023-08-29T14:14:31.9727842+05:30[Asia/Calcutta]","0.0","21.84"
"To test the Products and Services functionality","To validate the Products and services Dropdown","SUCCESS","2023-08-29T14:19:02.371943+05:30[Asia/Calcutta]","0.0","26.47"
